run_at,id,name,source,score,opportunity_type,recommended_action,metric_name,metric_value
2026-08-29T17:23:55+00:00,historical-openclaw,OpenClaw,Historical calibration,81.4,OpenClaw型,立即联系,stars,100000.0
2026-08-29T17:23:55+00:00,historical-manus,Manus,Historical calibration,77.1,Manus型,立即联系,points,950.0
2026-08-29T17:23:55+00:00,demo-gateway,Orbit Gateway,Demo signal,76.8,OpenClaw型,立即联系,stars,2100.0
2026-08-29T17:23:55+00:00,demo-browser,TaskPilot,Demo signal,73.8,Manus型,持续观察,points,330.0
2026-08-29T17:23:55+00:00,demo-local,TinyDesk Agent,Demo signal,48.4,其他Agent,暂不跟进,stars,86.0
2026-08-29T17:40:03+00:00,github-8db0b049c9e0,ApodexAI/FrontierAgent,GitHub,72.6,OpenClaw型,持续观察,stars,1262.0
2026-08-29T17:40:03+00:00,github-411d0e0eb417,totec448-spec/chat-on-steroids,GitHub,66.7,OpenClaw型,持续观察,stars,547.0
2026-08-29T17:40:03+00:00,github-84d69b3ec0e2,duty1g/x64dbg-mcp-server,GitHub,63.3,OpenClaw型,持续观察,stars,1718.0
2026-08-29T17:40:03+00:00,github-c38aab884ce0,kgoedecke/doop,GitHub,62.8,OpenClaw型,持续观察,stars,496.0
2026-08-29T17:40:03+00:00,github-70860c6f8588,XiaoDuoYa/codex-with-chatgpt,GitHub,62.5,OpenClaw型,持续观察,stars,846.0
2026-08-29T17:40:03+00:00,github-18592bc8e3fd,muratmula/ai-robinhood-chain,GitHub,60.5,OpenClaw型,持续观察,stars,122.0
2026-08-29T17:40:03+00:00,github-929a5a792915,Forsy-AI/biosecurity-agent,GitHub,59.3,OpenClaw型,持续观察,stars,514.0
2026-08-29T17:40:03+00:00,github-4118bee07688,rome-os/rome,GitHub,58.4,OpenClaw型,持续观察,stars,384.0
2026-08-29T17:40:03+00:00,github-a1da86bc83e2,HanyuanWang/LiveStream-Agent-Studio,GitHub,57.9,OpenClaw型,持续观察,stars,377.0
2026-08-29T17:40:03+00:00,github-28f88c76de81,Merit-Systems/OpenInstinct,GitHub,57.7,OpenClaw型,持续观察,stars,202.0
2026-08-29T17:53:12+00:00,github-8db0b049c9e0,ApodexAI/FrontierAgent,GitHub,69.9,OpenClaw型,持续观察,stars,1264.0
2026-08-29T17:53:12+00:00,github-411d0e0eb417,totec448-spec/chat-on-steroids,GitHub,63.8,OpenClaw型,持续观察,stars,548.0
2026-08-29T17:53:12+00:00,github-c38aab884ce0,kgoedecke/doop,GitHub,62.8,OpenClaw型,持续观察,stars,496.0
2026-08-29T17:53:12+00:00,github-70860c6f8588,XiaoDuoYa/codex-with-chatgpt,GitHub,62.5,OpenClaw型,持续观察,stars,854.0
2026-08-29T17:53:12+00:00,github-18592bc8e3fd,muratmula/ai-robinhood-chain,GitHub,60.5,OpenClaw型,持续观察,stars,122.0
2026-08-29T17:53:12+00:00,github-84d69b3ec0e2,duty1g/x64dbg-mcp-server,GitHub,60.3,OpenClaw型,持续观察,stars,1719.0
2026-08-29T17:53:12+00:00,github-929a5a792915,Forsy-AI/biosecurity-agent,GitHub,59.3,OpenClaw型,持续观察,stars,514.0
2026-08-29T17:53:12+00:00,github-4118bee07688,rome-os/rome,GitHub,58.4,OpenClaw型,持续观察,stars,384.0
2026-08-29T17:53:12+00:00,github-a1da86bc83e2,HanyuanWang/LiveStream-Agent-Studio,GitHub,57.9,OpenClaw型,持续观察,stars,377.0
2026-08-29T17:53:12+00:00,github-28f88c76de81,Merit-Systems/OpenInstinct,GitHub,57.6,OpenClaw型,持续观察,stars,202.0
2026-08-29T18:01:09+00:00,github-8db0b049c9e0,ApodexAI/FrontierAgent,GitHub,68.6,OpenClaw型,持续观察,stars,1264.0
2026-08-29T18:01:09+00:00,github-411d0e0eb417,totec448-spec/chat-on-steroids,GitHub,63.7,OpenClaw型,持续观察,stars,548.0
2026-08-29T18:01:09+00:00,github-c38aab884ce0,kgoedecke/doop,GitHub,62.8,OpenClaw型,持续观察,stars,496.0
2026-08-29T18:01:09+00:00,github-70860c6f8588,XiaoDuoYa/codex-with-chatgpt,GitHub,62.5,OpenClaw型,持续观察,stars,856.0
2026-08-29T18:01:09+00:00,github-18592bc8e3fd,muratmula/ai-robinhood-chain,GitHub,60.4,OpenClaw型,持续观察,stars,122.0
2026-08-29T18:01:09+00:00,github-84d69b3ec0e2,duty1g/x64dbg-mcp-server,GitHub,59.3,OpenClaw型,持续观察,stars,1719.0
2026-08-29T18:01:09+00:00,github-929a5a792915,Forsy-AI/biosecurity-agent,GitHub,59.3,OpenClaw型,持续观察,stars,514.0
2026-08-29T18:01:09+00:00,github-4118bee07688,rome-os/rome,GitHub,58.4,OpenClaw型,持续观察,stars,384.0
2026-08-29T18:01:09+00:00,github-a1da86bc83e2,HanyuanWang/LiveStream-Agent-Studio,GitHub,57.9,OpenClaw型,持续观察,stars,377.0
2026-08-29T18:01:09+00:00,github-28f88c76de81,Merit-Systems/OpenInstinct,GitHub,57.6,OpenClaw型,持续观察,stars,202.0
2026-08-29T18:08:54+00:00,github-8db0b049c9e0,ApodexAI/FrontierAgent,GitHub,75.6,OpenClaw型,持续观察,stars,1264.0
